city,date,n,no_killed,no_injured
Seattle,2014-12-19,38,0,
Seattle,2014-12-20,48,0,
Seattle,2014-12-21,18,0,
Seattle,2014-12-22,21,0,
Seattle,2014-12-23,54,0,
Seattle,2014-12-24,32,0,
Seattle,2014-12-25,8,0,
Seattle,2014-12-26,24,0,
Seattle,2014-12-27,19,0,
Seattle,2014-12-28,31,1,
Seattle,2014-12-29,30,0,
Seattle,2014-12-30,43,0,
Seattle,2014-12-31,35,0,
Seattle,2015-01-01,34,0,
Seattle,2015-01-02,26,0,
Seattle,2015-01-03,21,0,
Seattle,2015-01-04,22,0,
Seattle,2015-01-05,40,0,
Seattle,2015-01-06,34,0,
Seattle,2015-01-07,42,0,
Seattle,2015-01-08,47,0,
Seattle,2015-01-09,35,0,
Seattle,2015-01-10,46,0,
Seattle,2015-01-11,28,0,
Seattle,2015-01-12,32,0,
Seattle,2015-01-13,47,0,
Seattle,2015-01-14,39,0,
Seattle,2015-01-15,58,0,
Seattle,2015-01-16,46,0,
Seattle,2015-01-17,41,0,
Seattle,2015-01-18,27,0,
Seattle,2015-01-19,18,0,
Seattle,2015-01-20,32,0,
Seattle,2015-01-21,29,0,
Seattle,2015-01-22,36,0,
Seattle,2015-01-23,46,0,
Seattle,2015-01-24,31,0,
Seattle,2015-01-25,23,0,
Seattle,2015-01-26,41,0,
Seattle,2015-01-27,31,0,
Seattle,2015-01-28,35,0,
Seattle,2015-01-29,44,1,
Seattle,2015-01-30,43,0,
Seattle,2015-01-31,33,0,
Seattle,2015-02-01,35,0,
Seattle,2015-02-02,33,0,
Seattle,2015-02-03,34,0,
Seattle,2015-02-04,47,0,
Seattle,2015-02-05,38,0,
Seattle,2015-02-06,33,0,
Seattle,2015-02-07,38,0,
Seattle,2015-02-08,31,0,
Seattle,2015-02-09,34,0,
Seattle,2015-02-10,33,0,
Seattle,2015-02-11,40,0,
Seattle,2015-02-12,38,0,
Seattle,2015-02-13,32,0,
Seattle,2015-02-14,32,0,
Seattle,2015-02-15,38,0,
Seattle,2015-02-16,19,0,
Seattle,2015-02-17,42,0,
Seattle,2015-02-18,37,0,
Seattle,2015-02-19,44,0,
Seattle,2015-02-20,39,0,
Seattle,2015-02-21,32,0,
Seattle,2015-02-22,26,0,
Seattle,2015-02-23,34,0,
Seattle,2015-02-24,38,0,
Seattle,2015-02-25,37,0,
Seattle,2015-02-26,46,0,
Seattle,2015-02-27,37,0,
Seattle,2015-02-28,37,0,
Seattle,2015-03-01,30,0,
Seattle,2015-03-02,38,0,
Seattle,2015-03-03,35,0,
Seattle,2015-03-04,26,0,
Seattle,2015-03-05,29,0,
Seattle,2015-03-06,30,0,
Seattle,2015-03-07,37,0,
Seattle,2015-03-08,33,0,
Seattle,2015-03-09,33,0,
Seattle,2015-03-10,27,0,
Seattle,2015-03-11,39,0,
Seattle,2015-03-12,38,0,
Seattle,2015-03-13,37,0,
Seattle,2015-03-14,49,0,
Seattle,2015-03-15,35,0,
Seattle,2015-03-16,27,0,
Seattle,2015-03-17,34,0,
Seattle,2015-03-18,31,0,
Seattle,2015-03-19,43,0,
Seattle,2015-03-20,40,0,
Seattle,2015-03-21,40,0,
Seattle,2015-03-22,24,0,
Seattle,2015-03-23,36,0,
Seattle,2015-03-24,59,0,
Seattle,2015-03-25,47,0,
Seattle,2015-03-26,58,1,
Seattle,2015-03-27,40,0,
Seattle,2015-03-28,34,0,
Seattle,2015-03-29,28,0,
